month,model,rows,MAE_kW,Bias_kW
2022-09,baseline_kw,3883,44.183761767903675,20.36663889089047
2022-09,ML_speed,3883,39.87917132240837,19.2177626545995
2022-09,ML_speed_direction,3883,40.378949113552125,21.4419424674254
2022-10,baseline_kw,4120,67.55332025408319,40.57023695166951
2022-10,ML_speed,4120,61.37040371853437,41.01085380070438
2022-10,ML_speed_direction,4120,58.97280667174819,35.482793109318166
