,MAE_kW,Bias_kW,MAE_reduction_pct
baseline_kw,56.214572834136284,30.767591534950157,0.0
ML_speed,50.943007068008654,30.436997381820806,9.377578624819634
ML_speed_direction,49.951196163379414,28.67026992520351,11.141909214959712
